Person_id,Pos.,Player,Team,GP,Min,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT%,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,FB_PTS
1641574,PG,Leche,Celtics Crossover Gaming,7,341,55,108,0.509,45,87,0.517,14,14,1.0,0,0,0,60,7,6,25,0,169,0
1630395,PF,Anias,DUX Infinitos,7,336,23,36,0.639,6,14,0.429,1,2,0.5,6,24,30,21,16,10,5,6,53,2
1630979,C,Big Reign,DUX Infinitos,7,336,55,70,0.786,1,2,0.5,17,17,1.0,28,39,67,25,6,5,9,5,128,2
1631277,PG,Ryan1of1,DUX Infinitos,7,336,34,91,0.374,21,65,0.323,3,3,1.0,1,1,2,57,12,3,19,0,92,0
1641593,SG,Gazulli,DUX Infinitos,7,336,43,81,0.531,21,38,0.553,5,6,0.833,0,1,1,22,21,5,4,0,112,4
1642189,SF,Warknocks,DUX Infinitos,7,336,23,44,0.523,8,24,0.333,0,0,0.0,1,4,5,11,16,12,3,2,54,2
1600009,SG,ReeseDaGod,Gen.G Tigers,6,288,49,89,0.551,19,44,0.432,12,12,1.0,0,1,1,23,17,9,13,1,129,3
1630966,PG,gallow,Gen.G Tigers,7,336,41,66,0.621,26,40,0.65,10,12,0.833,0,4,4,80,8,2,26,0,118,0
1631271,SF,LawRich,Gen.G Tigers,7,336,29,38,0.763,4,9,0.444,0,0,0.0,1,1,2,6,9,8,0,0,62,0
1641627,PF,Jolo,Gen.G Tigers,7,336,23,39,0.59,12,22,0.545,0,0,0.0,2,28,30,5,18,7,3,8,58,0
1642192,C,ItsBoot,Gen.G Tigers,7,336,43,57,0.754,4,7,0.571,4,4,1.0,19,45,64,21,11,5,6,3,94,4
11630968,SG,ReturnOfDJ,Gen.G Tigers,1,48,6,10,0.6,4,5,0.8,0,0,0.0,0,0,0,10,1,0,1,0,16,0
1600249,PG,Vandi,Grizz Gaming,7,336,50,96,0.521,27,54,0.5,13,15,0.867,0,3,3,86,15,0,17,0,140,2
1630091,C,Spartxn,Grizz Gaming,7,336,34,47,0.723,5,7,0.714,8,12,0.667,21,44,65,16,8,3,9,2,81,4
1630403,SG,rigby,Grizz Gaming,7,336,50,79,0.633,23,42,0.548,10,13,0.769,1,4,5,26,8,11,9,0,133,2
1630972,SF,IcyyTheGoat,Grizz Gaming,7,336,39,53,0.736,5,14,0.357,0,0,0.0,0,3,3,4,18,7,2,1,83,4
1641609,PF,OhDonn,Grizz Gaming,7,336,16,28,0.571,11,19,0.579,0,0,0.0,4,25,29,7,20,7,5,11,43,0
1630047,PG,Duck,Hawks Talon GC,8,389,42,75,0.56,24,51,0.471,3,3,1.0,0,2,2,78,10,3,22,0,111,2
1630404,C,Low,Hawks Talon GC,8,389,52,65,0.8,0,1,0.0,10,13,0.769,29,58,87,24,16,6,6,9,114,0
1630420,SF,UnderRatedGoat,Hawks Talon GC,8,389,47,62,0.758,12,20,0.6,0,0,0.0,5,4,9,11,14,13,13,0,106,0
1641580,SG,MDS,Hawks Talon GC,8,389,69,129,0.535,38,83,0.458,15,15,1.0,0,2,2,67,9,9,16,0,191,8
1642193,PF,BaitPickk,Hawks Talon GC,8,389,22,43,0.512,13,31,0.419,4,6,0.667,2,28,30,7,22,13,4,8,61,0
